"stcofips","st","state","st_abbr","county","alzheimers_dementia","alz_spending","cholesterol","diabetes","smoking","obesity","inactive","nointernet","nocomputer","lesshighschool","lesscollege","snap","log_homevalue","hincome","gini","poverty","housingcost","unemploy","asian","black","white","pop","air","park","metro","hospital","physician","noinsurance","hisp","male","marri","crimerate","racialseg","socialvul","glyphosate","dicamba","risk_score","eal_score","resl_score","walk_index","food_index","hdrink","fruit","veteran","vacant","incarcerate","pre1960pct","dslpm","resp","ptraf","ptsdf","ozone","access_exercise","social_assoc","sleep","mental","chlamydia","syphilis","manufacturing","hbp","widow","hearing","teeth"
"01001","01","ALABAMA","AL","Autauga",12.3551,21269.474804,37,11.4,19.4,32.7,30.2,19.4,10.8,11.5,73.4,13.9,11.9511803959014,58000,0.454,12.1,13.4,2.7,1,19,74.6,55380,10.4,20,"3",1,2.1,10,2.8,48.634888,55.319672,132.8,0.31999999,0.43540001,7008.1,1276.9,5.74877740065178,10.6877273341514,55.5298,5.35185175,14.4830659536542,19,17.3,12.64,8.92,0.24,0.0743298305811709,0.307741704465625,0.794906998986245,176.780893206935,0.894519365020248,36.6382238153595,0.6913012406,12.229995863,0.3844333214,0.1580923066,504.2,10.8,12.95,39.6,5.83,4.65,16.3
"01003","01","ALABAMA","AL","Baldwin",12.0807,20072.886997,40.1,8.2,17.5,30.1,23.5,18.2,9.1,9.2,68.1,9.5,12.1960223096767,60000,0.459,10.1,11.2,2.8,0.9,9.1,83,212830,7.2,20,"3",3,1.4,13.2,4.5,48.628483,54.54665,149.8,0.40000001,0.21619999,54487.6,1486.7,13.557904620458,18.7350786753662,54.759202,6.367708321875,11.8493634885478,18.5,16.1,11.82,29.11,0.53,0.0614944838983429,0.265584589634892,0.521203368226825,145.529969254642,0.343742295939576,37.2965740600183,0.7371354895,10.503527167,0.3637796048,0.1475556542,290.1,3.7,9.25,38.9,7.26,4.53,13.4
"01005","01","ALABAMA","AL","Barbour",14.707,24592.752832,41.1,15.1,24.5,41.2,26.7,39.5,22.8,26.8,88.4,24.2,11.418614785499,36000,0.488,27.1,14.3,3.8,0.4,47.4,45.8,25361,9.4,27,"4",1,3.1,13.5,4.3,52.919838,44.529758,490.5,0.44,0.99589998,8436.65,2303.7,9.4196394570524,11.9354568430663,50.781998,5.29629633333333,19.1549134273592,17,19.2,6.62,22.21,9.98,0.205998156990869,0.15160602944706,0.808131138305378,184.25849024587,0.0282348685615418,34.9633882921284,0.5316676986,7.6363490213,0.408895893,0.1895469464,767.9,20.1,23.05,50,7.99,5.54,27.1
"01007","01","ALABAMA","AL","Bibb",16.5182,26445.698161,38.5,12.2,22.7,37.4,33.1,30.8,21.9,20.9,89.6,15.5,11.4403547721354,48000,0.449,20.3,8.7,3.1,0.1,22.1,74.5,22493,10,38,"2",1,1.9,10.6,2.5,54.016804,42.715248,120.8,0.47,0.60030001,2525.3,519.15,4.34631394853192,9.07604594765924,51.8076,4.701388975,17.2161172161172,18.7,17.6,8.02,24.98,8.33,0.147582141687589,0.176904813893747,0.724679771614898,29.6661336222959,0.27593339052086,36.0675755991286,0.1625136374,8.4821428571,0.4011005848,0.1714179321,621.5,8.9,16.9,43.6,8.62,3.85,20.7
"01009","01","ALABAMA","AL","Blount",13.3176,22050.958827,40.8,12.2,22.1,32.5,32.6,27,19,19.5,86.9,11,11.7597855429018,53000,0.457,16.3,7.8,2.7,0.4,1.5,86.8,57681,10.6,16,"2",1,4.8,14.1,9.2,49.401016,58.871849,277.70001,0.43000001,0.4242,4970.8,900.55,9.36294486550522,14.5483746568712,53.3574,4.62499994444444,21.3950892857143,19.1,16,7.72,14.29,0.15,0.148831640657254,0.216964534676925,0.569153933560639,47.2205608741677,0.190658425819676,39.5132379271709,0.1563448589,7.7800829876,0.3884710906,0.1712957021,304.7,0,17.16,42.2,7.92,4.34,19.3
"01011","01","ALABAMA","AL","Bullock",NA,28718.887213,39.2,27.9,24.4,46.4,42.3,39.9,22.7,25.3,87.9,27.4,11.1562505210315,32000,0.473,30,16.1,3.7,0.4,74.8,21.3,10248,9.2,2,"4",1,3.4,11.9,2.5,54.361828,38.830162,238.7,0.54000002,0.88980001,1742.5,457.1,5.65048191500947,6.4297634222515,49.7898,3.7592593,4.16666666666667,15.9,21.7,3.29,22.73,15.26,0.218294299602298,0.132223515821709,0.869841422870315,74.6720145671584,0.277083874735319,35.6633056022409,0.0250137438,7.8911027816,0.4465271376,0.1815980554,1238.5,19.7,36.26,50.8,6.66,2.48,28.5
"01013","01","ALABAMA","AL","Butler",16.0839,20341.553037,41.1,17,21.4,47.3,38.9,35.4,26.7,15,83.9,24.9,11.47210347045,40000,0.462,21.6,10.6,3.7,0.3,45,51.6,19828,8.9,2,"4",1,3.9,11.9,1.3,45.79887,44.784973,386.5,0.5,0.8653,5171.2,292.5,13.8013883255425,12.6516199976436,52.902598,5.34567905555556,8.7403538490495,16.8,19.2,6.58,35.51,0.28,0.189307799720726,0.192414514844677,0.717776850884449,56.4647974391513,0.260683552186179,34.4017513243894,0.4857974889,9.6544715447,0.4197116999,0.185264872,942.4,10.2,25.02,49.9,7.92,3.91,24.8
"01015","01","ALABAMA","AL","Calhoun",13.9752,23926.655907,40.3,15.2,20.4,39.7,30,24.9,14.3,15.6,81.5,18.1,11.6784399034478,48000,0.463,17.2,10.5,3.6,0.8,20.6,72,114618,10.8,29,"3",2,1.6,11.1,3.7,48.108501,50.62923,301.20001,0.41,0.82520002,7886,1252.75,16.6076873065026,20.5616599323364,54.9294,5.86953405483871,9.39126283587566,18.6,17.4,10.84,16.83,0.88,0.243787489288775,0.271472803193937,0.662337061202585,173.609272720646,1.13776685152911,39.4936336780866,0.477212158,14.263587599,0.3826870475,0.1782282994,597.4,0,17.74,42.4,7.52,5.95,19.1
"01017","01","ALABAMA","AL","Chambers",14.6168,19529.26724,40.6,15.6,22,42,27.5,30.6,20.6,18.4,86.7,20.1,11.4824662574855,42000,0.423,19.6,11.9,2.9,1.1,39.5,55.5,33660,10.2,14,"4",0,2.4,11.6,2.3,47.798573,46.69017,250.3,0.44,0.73820001,3307.75,1016.45,8.37143092083378,8.9680230036021,53.372202,5.81234568888889,10.2055968722635,16.8,18.9,7.91,20.84,0.36,0.282845533243036,0.234927507112143,0.724821344880081,129.027169485541,0.302890468826891,37.7129019211725,0.6186467923,18.146660717,0.4051051084,0.1756663479,714.3,11.9,31.44,47.7,8.94,4.8,22.4
"01019","01","ALABAMA","AL","Cherokee",12.1929,20990.382822,42.8,12,21.8,38.1,27.7,29.3,18.6,18.4,87.2,15.6,11.7199396343546,46000,0.452,15.9,8.2,2.9,0.2,4.5,91.7,25903,10.3,22,"4",1,2.6,13.5,1.5,49.326332,60.175446,241.8,0.49000001,0.45159999,28287.35,4254.8,9.17707250669178,12.5105278693992,51.3446,4.2847223,7.64274322169059,18.7,15.6,9.12,35.24,0.46,0.116387393382131,0.185283823459746,0.60798467897873,2.60614217823176,0.173266726281965,39.6656976952184,0.3342952788,8.4511370621,0.3786397167,0.1807841566,384.4,0,24.32,44.3,7.7,4.56,20.9
"01021","01","ALABAMA","AL","Chilton",12.7652,23611.103432,41.6,16.8,22.8,42.1,31.9,31.3,19.9,18.2,87.3,16.7,11.580584113444,50000,0.472,16,12.1,2.7,0.4,9.1,80.1,44055,10.2,5,"2",1,4.4,16.3,7.8,48.709568,52.851978,216.10001,0.46000001,0.76020002,4359.15,1133.4,7.6712825005875,11.5424735985526,51.732202,4.66697532222222,20.2555242028926,18.9,17.1,7.61,14.43,0.33,0.154038598999285,0.2526898493347,0.706394831292147,53.126962463036,0.268215121477856,36.2628587581699,0.4629379282,14.948021652,0.3872929498,0.1781724672,341.9,2.3,14.84,43.1,7.84,4.93,21.2
"01023","01","ALABAMA","AL","Choctaw",15.5946,27360.347068,42.3,13.9,21.4,46.7,32,38.7,23.7,18.6,88.1,24.8,11.2118203721863,40000,0.469,22.6,7.8,4.7,0.1,42.5,56.3,12925,8.9,6,"4",1,2.6,13.5,0.4,47.543522,50.854977,23.5,0.58999997,0.87480003,2086.8,116.55,11.1633990279955,12.1056266369904,48.994998,3.63958335,6.45833333333333,16.4,19.5,8.61,27.98,0,0.194444444444444,0.139808137227133,0.6533815842326,8.08225664982293,0.0239843146912775,33.1675733333333,0.2893426654,21.805155362,0.4171583047,0.1829022337,381.8,0,15.86,51.5,8.85,6.1,23.7
"01025","01","ALABAMA","AL","Clarke",16.867,23799.803543,41.3,22.5,22.8,36.1,40,42.5,29.7,19.4,87.8,23.6,11.6351430976945,44000,0.516,18.4,11.7,5.8,0.4,45.7,52.7,24128,9.1,9,"4",2,1.8,12.6,0.3,47.260445,48.776314,161.60001,0.49000001,0.84710002,1339.9,106.1,9.96170379865688,9.9133843678718,51.3058,3.9910494,6.66971916971917,16.8,19.5,6.24,28.9,0.38,0.145357507260027,0.160147173486203,0.691298889327383,47.8427771272446,0.0800696288938221,33.9562773692811,0.2527000348,15.886287625,0.4269677917,0.1851944094,581.2,8.4,25.32,49.1,8.01,4.51,23.7
