County,State,FIPS Code,Formatted FIPS,Estimated percent of workers with a work commute of more than an
Autauga,AL,1001,01001,4.29
Baldwin,AL,1003,01003,7.61
Barbour,AL,1005,01005,8.42
Bibb,AL,1007,01007,10.19
Blount,AL,1009,01009,17.77
Bullock,AL,1011,01011,11.96
Butler,AL,1013,01013,7.11
Calhoun,AL,1015,01015,7.95
Chambers,AL,1017,01017,5.94
Cherokee,AL,1019,01019,10.23
Chilton,AL,1021,01021,16.07
Choctaw,AL,1023,01023,19.11
Clarke,AL,1025,01025,12.24
Clay,AL,1027,01027,15.51
Cleburne,AL,1029,01029,13.11
Coffee,AL,1031,01031,4.78
Colbert,AL,1033,01033,6.77
Conecuh,AL,1035,01035,10.8
Coosa,AL,1037,01037,11.36
Covington,AL,1039,01039,8.9
Crenshaw,AL,1041,01041,13.84
Cullman,AL,1043,01043,12.45
Dale,AL,1045,01045,4.36
Dallas,AL,1047,01047,9.64
DeKalb,AL,1049,01049,6.95
Elmore,AL,1051,01051,5.3
Escambia,AL,1053,01053,8.09
Etowah,AL,1055,01055,8.07
Fayette,AL,1057,01057,16.42
Franklin,AL,1059,01059,11.3
Geneva,AL,1061,01061,9.96
Greene,AL,1063,01063,26.45
Hale,AL,1065,01065,11.39
Henry,AL,1067,01067,7.78
Houston,AL,1069,01069,3.35
Jackson,AL,1071,01071,8.48
Jefferson,AL,1073,01073,4.27
Lamar,AL,1075,01075,9.04
Lauderdale,AL,1077,01077,8.78
Lawrence,AL,1079,01079,7.69
Lee,AL,1081,01081,4.79
Limestone,AL,1083,01083,5.57
Lowndes,AL,1085,01085,10.1
Macon,AL,1087,01087,5.08
Madison,AL,1089,01089,1.86
Marengo,AL,1091,01091,11.57
Marion,AL,1093,01093,9.5
Marshall,AL,1095,01095,8.61
Mobile,AL,1097,01097,4.96
Monroe,AL,1099,01099,11.92
Montgomery,AL,1101,01101,3.29
Morgan,AL,1103,01103,4.21
Perry,AL,1105,01105,9.02
Pickens,AL,1107,01107,15.13
Pike,AL,1109,01109,5.99
Randolph,AL,1111,01111,10.55
Russell,AL,1113,01113,3.28
St. Clair,AL,1115,01115,6.89
Shelby,AL,1117,01117,8.75
Sumter,AL,1119,01119,10.7
Talladega,AL,1121,01121,8.72
Tallapoosa,AL,1123,01123,12.26
Tuscaloosa,AL,1125,01125,5.38
Walker,AL,1127,01127,13.16
Washington,AL,1129,01129,16.83
Wilcox,AL,1131,01131,11.76
Winston,AL,1133,01133,15.75
Aleutians East,AK,2013,02013,0
Aleutians West,AK,2016,02016,1.11
Anchorage,AK,2020,02020,2.63
Bethel,AK,2050,02050,0.36
Bristol Bay,AK,2060,02060,0.69
Denali,AK,2068,02068,6.24
Dillingham,AK,2070,02070,0.16
Fairbanks North Star,AK,2090,02090,2.88
Haines,AK,2100,02100,4.04
Hoonah-Angoon,AK,2105,02105,2.54
Juneau,AK,2110,02110,2.06
Kenai Peninsula,AK,2122,02122,4.8
Ketchikan Gateway,AK,2130,02130,1.36
Kodiak Island,AK,2150,02150,1.55
Lake and Peninsula,AK,2164,02164,1.49
Matanuska-Susitna,AK,2170,02170,20.7
Nome,AK,2180,02180,0.23
North Slope,AK,2185,02185,0.04
Northwest Arctic,AK,2188,02188,0.68
Petersburg,AK,2195,02195,0.67
Prince of Wales-Hyder,AK,2198,02198,8.29
Sitka,AK,2220,02220,1.6
Skagway,AK,2230,02230,0.29
Southeast Fairbanks,AK,2240,02240,2.99
Valdez-Cordova,AK,2261,02261,2.81
Wade Hampton,AK,2270,02270,0.76
Wrangell,AK,2275,02275,1.34
Yakutat,AK,2282,02282,0.65
Yukon-Koyukuk,AK,2290,02290,2.84
Apache,AZ,4001,04001,13.2
Cochise,AZ,4003,04003,5.92
Coconino,AZ,4005,04005,5.09
Gila,AZ,4007,04007,9
Graham,AZ,4009,04009,11.62
Greenlee,AZ,4011,04011,3.73
La Paz,AZ,4012,04012,2.01
Maricopa,AZ,4013,04013,7.1
Mohave,AZ,4015,04015,7.03
Navajo,AZ,4017,04017,8.44
Pima,AZ,4019,04019,4.82
Pinal,AZ,4021,04021,13.83
Santa Cruz,AZ,4023,04023,11.12
Yavapai,AZ,4025,04025,7.24
Yuma,AZ,4027,04027,4.54
Arkansas,AR,5001,05001,3.6
Ashley,AR,5003,05003,7.54
Baxter,AR,5005,05005,2.81
Benton,AR,5007,05007,2.16
Boone,AR,5009,05009,4.57
Bradley,AR,5011,05011,9.32
Calhoun,AR,5013,05013,3.98
Carroll,AR,5015,05015,7.56
Chicot,AR,5017,05017,4.61
Clark,AR,5019,05019,8.71
Clay,AR,5021,05021,7.08
Cleburne,AR,5023,05023,12.18
Cleveland,AR,5025,05025,14.26
Columbia,AR,5027,05027,4.23
Conway,AR,5029,05029,10.24
Craighead,AR,5031,05031,5.54
Crawford,AR,5033,05033,3.22
Crittenden,AR,5035,05035,3.22
Cross,AR,5037,05037,13.41
Dallas,AR,5039,05039,11.28
Desha,AR,5041,05041,3.71
Drew,AR,5043,05043,7.66
Faulkner,AR,5045,05045,5.3
Franklin,AR,5047,05047,9.64
Fulton,AR,5049,05049,4.88
Garland,AR,5051,05051,6.91
Grant,AR,5053,05053,10.68
Greene,AR,5055,05055,3.76
