County,State,FIPS Code,Formatted FIPS,"Estimated percent of people with a hearing difficulty, between 2"
Autauga,AL,1001,01001,4.65
Baldwin,AL,1003,01003,4.53
Barbour,AL,1005,01005,5.54
Bibb,AL,1007,01007,3.85
Blount,AL,1009,01009,4.34
Bullock,AL,1011,01011,2.48
Butler,AL,1013,01013,3.91
Calhoun,AL,1015,01015,5.95
Chambers,AL,1017,01017,4.8
Cherokee,AL,1019,01019,4.56
Chilton,AL,1021,01021,4.93
Choctaw,AL,1023,01023,6.1
Clarke,AL,1025,01025,4.51
Clay,AL,1027,01027,6.8
Cleburne,AL,1029,01029,7.21
Coffee,AL,1031,01031,5.41
Colbert,AL,1033,01033,4.59
Conecuh,AL,1035,01035,4.91
Coosa,AL,1037,01037,7.18
Covington,AL,1039,01039,5.82
Crenshaw,AL,1041,01041,4.47
Cullman,AL,1043,01043,4.99
Dale,AL,1045,01045,5.94
Dallas,AL,1047,01047,3.79
DeKalb,AL,1049,01049,3.53
Elmore,AL,1051,01051,4.88
Escambia,AL,1053,01053,4.81
Etowah,AL,1055,01055,4.65
Fayette,AL,1057,01057,8.52
Franklin,AL,1059,01059,4.39
Geneva,AL,1061,01061,7.48
Greene,AL,1063,01063,5.12
Hale,AL,1065,01065,4.41
Henry,AL,1067,01067,5.55
Houston,AL,1069,01069,4.33
Jackson,AL,1071,01071,4.93
Jefferson,AL,1073,01073,3.67
Lamar,AL,1075,01075,6.56
Lauderdale,AL,1077,01077,4.42
Lawrence,AL,1079,01079,5.84
Lee,AL,1081,01081,3.58
Limestone,AL,1083,01083,4.72
Lowndes,AL,1085,01085,5.53
Macon,AL,1087,01087,3
Madison,AL,1089,01089,3.54
Marengo,AL,1091,01091,5.66
Marion,AL,1093,01093,6.98
Marshall,AL,1095,01095,4.02
Mobile,AL,1097,01097,3.72
Monroe,AL,1099,01099,3.03
Montgomery,AL,1101,01101,3.34
Morgan,AL,1103,01103,4.92
Perry,AL,1105,01105,5.51
Pickens,AL,1107,01107,7.51
Pike,AL,1109,01109,3.31
Randolph,AL,1111,01111,5.32
Russell,AL,1113,01113,5
St. Clair,AL,1115,01115,4.88
Shelby,AL,1117,01117,3.38
Sumter,AL,1119,01119,5.46
Talladega,AL,1121,01121,4.79
Tallapoosa,AL,1123,01123,5.03
Tuscaloosa,AL,1125,01125,2.91
Walker,AL,1127,01127,6.66
Washington,AL,1129,01129,7.5
Wilcox,AL,1131,01131,3.52
Winston,AL,1133,01133,7.07
Aleutians East,AK,2013,02013,4.7
Aleutians West,AK,2016,02016,4.09
Anchorage,AK,2020,02020,3.83
Bethel,AK,2050,02050,6.83
Bristol Bay,AK,2060,02060,6.28
Denali,AK,2068,02068,7.36
Dillingham,AK,2070,02070,7.91
Fairbanks North Star,AK,2090,02090,4.63
Haines,AK,2100,02100,6.17
Hoonah-Angoon,AK,2105,02105,9.36
Juneau,AK,2110,02110,3.54
Kenai Peninsula,AK,2122,02122,6.19
Ketchikan Gateway,AK,2130,02130,5.9
Kodiak Island,AK,2150,02150,3.15
Lake and Peninsula,AK,2164,02164,6.89
Matanuska-Susitna,AK,2170,02170,4.41
Nome,AK,2180,02180,5.93
North Slope,AK,2185,02185,5.72
Northwest Arctic,AK,2188,02188,4.59
Petersburg,AK,2195,02195,11.3
Prince of Wales-Hyder,AK,2198,02198,10.25
Sitka,AK,2220,02220,5.9
Skagway,AK,2230,02230,6.32
Southeast Fairbanks,AK,2240,02240,8.2
Valdez-Cordova,AK,2261,02261,6.11
Wade Hampton,AK,2270,02270,7.03
Wrangell,AK,2275,02275,6.73
Yakutat,AK,2282,02282,5.24
Yukon-Koyukuk,AK,2290,02290,8.53
Apache,AZ,4001,04001,5.64
Cochise,AZ,4003,04003,5.85
Coconino,AZ,4005,04005,3.7
Gila,AZ,4007,04007,8.29
Graham,AZ,4009,04009,3.27
Greenlee,AZ,4011,04011,3.64
La Paz,AZ,4012,04012,9.92
Maricopa,AZ,4013,04013,3.41
Mohave,AZ,4015,04015,7.09
Navajo,AZ,4017,04017,6.56
Pima,AZ,4019,04019,4.68
Pinal,AZ,4021,04021,5.13
Santa Cruz,AZ,4023,04023,4.54
Yavapai,AZ,4025,04025,6.38
Yuma,AZ,4027,04027,3.87
Arkansas,AR,5001,05001,5.3
Ashley,AR,5003,05003,5.6
Baxter,AR,5005,05005,6.58
Benton,AR,5007,05007,2.78
Boone,AR,5009,05009,6.08
Bradley,AR,5011,05011,7.16
Calhoun,AR,5013,05013,8.04
Carroll,AR,5015,05015,4.8
Chicot,AR,5017,05017,5.86
Clark,AR,5019,05019,7.11
Clay,AR,5021,05021,6.97
Cleburne,AR,5023,05023,6.21
Cleveland,AR,5025,05025,7.38
Columbia,AR,5027,05027,4.59
Conway,AR,5029,05029,7.59
Craighead,AR,5031,05031,4.48
Crawford,AR,5033,05033,6.03
Crittenden,AR,5035,05035,3.58
Cross,AR,5037,05037,5.29
Dallas,AR,5039,05039,7.47
Desha,AR,5041,05041,5.23
Drew,AR,5043,05043,6.06
Faulkner,AR,5045,05045,4.35
Franklin,AR,5047,05047,8.17
Fulton,AR,5049,05049,7.58
Garland,AR,5051,05051,6.19
Grant,AR,5053,05053,6.14
Greene,AR,5055,05055,6.86
Hempstead,AR,5057,05057,4.65
Hot Spring,AR,5059,05059,7.73
Howard,AR,5061,05061,5.84
Independence,AR,5063,05063,6.17
Izard,AR,5065,05065,10.26
Jackson,AR,5067,05067,6.36
Jefferson,AR,5069,05069,4.41
Johnson,AR,5071,05071,5.89
Lafayette,AR,5073,05073,6.85
Lawrence,AR,5075,05075,6.9
Lee,AR,5077,05077,4.15
Lincoln,AR,5079,05079,7.4
Little River,AR,5081,05081,6.51
Logan,AR,5083,05083,6.36
Lonoke,AR,5085,05085,4.13
Madison,AR,5087,05087,6.86
Marion,AR,5089,05089,6.68
Miller,AR,5091,05091,4.44
Mississippi,AR,5093,05093,5.5
Monroe,AR,5095,05095,7.06
